id,content,score,product_code,provider_name,car_model_name
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,스포티지
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,스포티지
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,스포티지
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,C클래스
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,C클래스
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,스포티지
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,스포티지
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,스포티지
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,C클래스
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,C클래스
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
149297.0,매우넓고 관리가잘되서있습니다,5,PARKING,서울대공원 주차장,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,C클래스
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,C클래스
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
162742.0,"포화상태
30분회차불가!
",5,PARKING,안******,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,모델 X
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,모델 X
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,모델 X
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
113782.0,편했어요.,5,PARKING,서울대공원 주차장,K3
137074.0,넓어서 좋아요 다만 사용료 비싸요,5,PARKING,무역센터(코엑스) 주차장,K3
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,모델 X
