id,content,score,product_code,provider_name,name
116190.0,주차장 관리 안하는거같네요 카카오티 자동 출차 안되고 결제만 되던게 한달 넘엇는데도 안고처지고 환기를 안시키는지 주차장에 식당 음식냄새로 머리아프고 열기도 가득차서 실외랑 다른게 없음,1,PARKING,하이파킹 아크플레이스,기타
113296.0,출차할때 카카오티 연동 안되는 문제가 벌써 한달짼데 언제해결되나요? 이용할때마다 뒤차들한테 눈치보여서 못하겠어요,1,PARKING,하이파킹 아크플레이스,기타
107515.0,주차권으로 정산하고 나오려했는데 정산기계에서 카카오t 등록차량이라고 주차권사용이 안돼서 주차비내고 나왔네요ㅡㅡ,1,PARKING,원주 타임시티 주차장,K3
167256.0,"차량이 연속으로 출차 시, 에러 발생하여 결제는 되고 차단막이 안올라가는 현상 발생.
해당 주차관리 업체에 연락해서 겨우 나옴.",1,PARKING,카카오 T 강남역 주차장,크루즈
143950.0,전기차 충전이랑 요금이 별개로나오나요??ㅜ,1,PARKING,하이파킹 광화문D타워,기타
135538.0,너무 비싸요,1,PARKING,무역센터(코엑스) 주차장,스포티지
159853.0,주차장이 좁고 차돌리기도힘들고 자리도 없고 작음,1,PARKING,카카오 T 합정동 제2주차장,K3
161359.0,2시에 나왔는데 주차 결재가 제대로 되않아 계속 주차중으로 나오고 나중에 확인 않했으면 이건머 눈뜨고 코베이는 꼴이네요. 이제 카카오T는 못믿겠네요,1,PARKING,무******,코나
131921.0,차 빼는데 어라운드뷰 없으면 긁을듯. 말도 안되게 좁음.,1,PARKING,문래근린공원 공영주차장,S60
152867.0,"여유주차공간이 없어서 주차를 못함
지난번에도 입차했다가 없어서 다시 나왔는데
앞으로는 여유공간이 없으면 예약을 중지해주세요",1,PARKING,지******,스포티지
128707.0,"카드결제도 먹통, 카카오 결제도 먹통 아무것고 안 돼서 관리자분이 도와주셔서(관리자 계좌로 주차비 입금) 출차 했는데 한참 이따가 결제시도 울림",1,PARKING,정자역 환승 공영주차장,K3
159865.0,병목현상 너무 심해요...,1,PARKING,서******,스포티지
146370.0,주차 다둥이할인 적용이 되지 않았어요,1,PARKING,반******,C클래스
126616.0,"츌구나오는데만 2000원 나왔습니다,,",1,PARKING,아쿠아리움 입구 주차장,기타
139321.0,방문한 상가에서 주차 등록해서 1시간 반 할인이 되었어야 하는데..카카오티로 자동 결제해놔서 그런가 그냥 다 결제되었네요..카카오티 해제를 해놔야 될것 같아요,1,PARKING,산본중심지하 공영주차장,스포티지
121515.0,출차 미인식되어서 고객센터에 요청한게 4번째네요. 개선이 안 되는 것 같습니다. 출차하면서 카카오내비로 이동했기때문에 주차장 나간 걸 카카오내비가 알 텐데 왜 계속 개포 주차장에 있다고 뜨는 건지도 답답하고요.,1,PARKING,카카오 T 개포자이르네 상가 주차장,K3
